sequence_index,dataset_version,candidate_index,cow_id,cow_health_status,video_health_status,health_condition,session_category,dataset_root,relative_path,video_path,sequence_seconds,target_fps,frames_per_sequence,crop_size,start_second,end_second,window_stride_seconds,window_overlap_seconds,source_fps,source_frame_count,source_duration_sec,detected_frames,filled_frames,detection_rate,filled_rate,confidence_threshold,yolo_batch_size,yolo_device,mean_detection_confidence,min_detection_confidence,max_detection_confidence,multi_face_frames,multi_face_rate,crop_area_mean,crop_area_min,crop_area_max,blur_laplacian_var_mean,created_utc,sequence_dir
11,thesis_stride8_qa,24,355,Healthy,Healthy,healthy folder,after_exercise,Truro Cow Video Data,healthy cows after exercise/Sep 5/355.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\healthy cows after exercise\Sep 5\355.mov,10.0,24.0,240,224,32.0,42.0,8.0,2.0,29.9972104268047,1613,53.77166666666667,236,4,0.9833333333333333,0.016666666666666666,0.6,32,0,0.8790049446841418,0.6177594661712646,0.9682097434997559,106,0.44166666666666665,1180945.309322034,65056,1338876,2779.0103665348256,2026-05-25T17:47:10Z,C:\Users\shivp\Downloads\Research\DATASET\Transferlearning\cow_face_sequences_thesis_stride8\output\sequences\healthy\cow_355_healthy\sequence_truro_cow_video_da_5624f69b_t032s
12,thesis_stride8_qa,25,355,Healthy,Healthy,healthy folder,after_exercise,Truro Cow Video Data,healthy cows after exercise/Sep 5/355.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\healthy cows after exercise\Sep 5\355.mov,10.0,24.0,240,224,40.0,50.0,8.0,2.0,29.9972104268047,1613,53.77166666666667,239,1,0.9958333333333333,0.004166666666666667,0.6,32,0,0.9266109084983251,0.6113702058792114,0.9677807092666626,224,0.9333333333333333,1163025.330543933,59782,1268310,2327.0939746651534,2026-05-25T17:48:04Z,C:\Users\shivp\Downloads\Research\DATASET\Transferlearning\cow_face_sequences_thesis_stride8\output\sequences\healthy\cow_355_healthy\sequence_truro_cow_video_da_5624f69b_t040s
13,thesis_stride8_qa,27,355,Healthy,Healthy,healthy folder,before_exercise,Truro Cow Video Data,healthy cows before going out/Sep 4/355.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\healthy cows before going out\Sep 4\355.mov,10.0,24.0,240,224,8.0,18.0,8.0,2.0,29.996600951733516,1765,58.839999999999996,232,8,0.9666666666666667,0.03333333333333333,0.6,32,0,0.8198983944181738,0.6045202016830444,0.947676420211792,116,0.48333333333333334,1263759.6379310344,172797,1514160,2399.167333704434,2026-05-25T17:49:54Z,C:\Users\shivp\Downloads\Research\DATASET\Transferlearning\cow_face_sequences_thesis_stride8\output\sequences\healthy\cow_355_healthy\sequence_truro_cow_video_da_74bb8922_t008s
14,thesis_stride8_qa,30,355,Healthy,Healthy,healthy folder,before_exercise,Truro Cow Video Data,healthy cows before going out/Sep 4/355.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\healthy cows before going out\Sep 4\355.mov,10.0,24.0,240,224,32.0,42.0,8.0,2.0,29.996600951733516,1765,58.839999999999996,224,16,0.9333333333333333,0.06666666666666667,0.6,32,0,0.8237940203398466,0.6007059216499329,0.9604008793830872,42,0.175,1459367.8035714286,113270,1676160,3037.9766057048632,2026-05-25T17:52:28Z,C:\Users\shivp\Downloads\Research\DATASET\Transferlearning\cow_face_sequences_thesis_stride8\output\sequences\healthy\cow_355_healthy\sequence_truro_cow_video_da_74bb8922_t032s
15,thesis_stride8_qa,32,355,Healthy,Healthy,healthy folder,before_exercise,Truro Cow Video Data,healthy cows before going out/Sep 4/355.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\healthy cows before going out\Sep 4\355.mov,10.0,24.0,240,224,48.0,58.0,8.0,2.0,29.996600951733516,1765,58.839999999999996,232,8,0.9666666666666667,0.03333333333333333,0.6,32,0,0.8909735589705664,0.6141027212142944,0.9639905095100403,3,0.0125,1564736.7844827587,37674,1705847,3028.913524210288,2026-05-25T17:54:25Z,C:\Users\shivp\Downloads\Research\DATASET\Transferlearning\cow_face_sequences_thesis_stride8\output\sequences\healthy\cow_355_healthy\sequence_truro_cow_video_da_74bb8922_t048s
16,thesis_stride8_qa,33,370,Healthy,Healthy,healthy,after_exercise,Yashan Dhaliwal RAC Data 2025,"21 Feb 2025/After Exercise/370/Video 2025-02-21, 9 55 13 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\21 Feb 2025\After Exercise\370\Video 2025-02-21, 9 55 13 AM.mov",10.0,24.0,240,224,0.0,10.0,8.0,2.0,30.00192425755729,5457,181.88833333333335,224,16,0.9333333333333333,0.06666666666666667,0.6,32,0,0.9248851819762162,0.6277714371681213,0.9760878086090088,104,0.43333333333333335,1531518.5357142857,235200,1718280,2042.8850791271516,2026-05-25T17:55:29Z,C:\Users\shivp\Downloads\Research\DATASET\Transferlearning\cow_face_sequences_thesis_stride8\output\sequences\healthy\cow_370_healthy\sequence_yashan_dhaliwal_ra_fd2974f5_t000s
17,thesis_stride8_qa,34,370,Healthy,Healthy,healthy,after_exercise,Yashan Dhaliwal RAC Data 2025,"21 Feb 2025/After Exercise/370/Video 2025-02-21, 9 55 13 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\21 Feb 2025\After Exercise\370\Video 2025-02-21, 9 55 13 AM.mov",10.0,24.0,240,224,8.0,18.0,8.0,2.0,30.00192425755729,5457,181.88833333333335,223,17,0.9291666666666667,0.07083333333333333,0.6,32,0,0.877060238288657,0.6010499000549316,0.9732922315597534,123,0.5125,1228288.6591928252,14000,1683720,2073.3483667180953,2026-05-25T17:56:30Z,C:\Users\shivp\Downloads\Research\DATASET\Transferlearning\cow_face_sequences_thesis_stride8\output\sequences\healthy\cow_370_healthy\sequence_yashan_dhaliwal_ra_fd2974f5_t008s
18,thesis_stride8_qa,35,370,Healthy,Healthy,healthy,after_exercise,Yashan Dhaliwal RAC Data 2025,"21 Feb 2025/After Exercise/370/Video 2025-02-21, 9 55 13 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\21 Feb 2025\After Exercise\370\Video 2025-02-21, 9 55 13 AM.mov",10.0,24.0,240,224,16.0,26.0,8.0,2.0,30.00192425755729,5457,181.88833333333335,240,0,1.0,0.0,0.6,32,0,0.9395331718027592,0.6226675510406494,0.973292350769043,223,0.9291666666666667,1422024.7666666666,63124,1683720,1990.0383620901553,2026-05-25T17:57:30Z,C:\Users\shivp\Downloads\Research\DATASET\Transferlearning\cow_face_sequences_thesis_stride8\output\sequences\healthy\cow_370_healthy\sequence_yashan_dhaliwal_ra_fd2974f5_t016s
19,thesis_stride8_qa,36,370,Healthy,Healthy,healthy,after_exercise,Yashan Dhaliwal RAC Data 2025,"21 Feb 2025/After Exercise/370/Video 2025-02-21, 9 55 13 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\21 Feb 2025\After Exercise\370\Video 2025-02-21, 9 55 13 AM.mov",10.0,24.0,240,224,24.0,34.0,8.0,2.0,30.00192425755729,5457,181.88833333333335,237,3,0.9875,0.0125,0.6,32,0,0.9242967394836844,0.6168632507324219,0.9695499539375305,214,0.8916666666666667,1334102.1434599156,85075,1618920,1971.3011928179633,2026-05-25T17:58:26Z,C:\Users\shivp\Downloads\Research\DATASET\Transferlearning\cow_face_sequences_thesis_stride8\output\sequences\healthy\cow_370_healthy\sequence_yashan_dhaliwal_ra_fd2974f5_t024s
20,thesis_stride8_qa,37,370,Healthy,Healthy,healthy,after_exercise,Yashan Dhaliwal RAC Data 2025,"21 Feb 2025/After Exercise/370/Video 2025-02-21, 9 55 13 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\21 Feb 2025\After Exercise\370\Video 2025-02-21, 9 55 13 AM.mov",10.0,24.0,240,224,32.0,42.0,8.0,2.0,30.00192425755729,5457,181.88833333333335,239,1,0.9958333333333333,0.004166666666666667,0.6,32,0,0.9054331093652478,0.6414197683334351,0.9658311009407043,202,0.8416666666666667,1292023.0669456066,23184,1530360,1825.205757589943,2026-05-25T17:59:37Z,C:\Users\shivp\Downloads\Research\DATASET\Transferlearning\cow_face_sequences_thesis_stride8\output\sequences\healthy\cow_370_healthy\sequence_yashan_dhaliwal_ra_fd2974f5_t032s
21,thesis_stride8_qa,38,370,Healthy,Healthy,healthy,after_exercise,Yashan Dhaliwal RAC Data 2025,"21 Feb 2025/After Exercise/370/Video 2025-02-21, 9 55 13 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\21 Feb 2025\After Exercise\370\Video 2025-02-21, 9 55 13 AM.mov",10.0,24.0,240,224,40.0,50.0,8.0,2.0,30.00192425755729,5457,181.88833333333335,229,11,0.9541666666666667,0.04583333333333333,0.6,32,0,0.9012952014868957,0.6200001239776611,0.9687821269035339,87,0.3625,1443889.2925764192,23184,1713960,1781.3872525439187,2026-05-25T18:00:47Z,C:\Users\shivp\Downloads\Research\DATASET\Transferlearning\cow_face_sequences_thesis_stride8\output\sequences\healthy\cow_370_healthy\sequence_yashan_dhaliwal_ra_fd2974f5_t040s
22,thesis_stride8_qa,39,370,Healthy,Healthy,healthy,after_exercise,Yashan Dhaliwal RAC Data 2025,"21 Feb 2025/After Exercise/370/Video 2025-02-21, 9 55 13 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\21 Feb 2025\After Exercise\370\Video 2025-02-21, 9 55 13 AM.mov",10.0,24.0,240,224,48.0,58.0,8.0,2.0,30.00192425755729,5457,181.88833333333335,240,0,1.0,0.0,0.6,32,0,0.9346445682148139,0.6054484844207764,0.9687821269035339,168,0.7,1439333.7166666666,195810,1691280,2059.640858723451,2026-05-25T18:01:44Z,C:\Users\shivp\Downloads\Research\DATASET\Transferlearning\cow_face_sequences_thesis_stride8\output\sequences\healthy\cow_370_healthy\sequence_yashan_dhaliwal_ra_fd2974f5_t048s
23,thesis_stride8_qa,40,370,Healthy,Healthy,healthy,after_exercise,Yashan Dhaliwal RAC Data 2025,"21 Feb 2025/After Exercise/370/Video 2025-02-21, 9 55 13 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\21 Feb 2025\After Exercise\370\Video 2025-02-21, 9 55 13 AM.mov",10.0,24.0,240,224,56.0,66.0,8.0,2.0,30.00192425755729,5457,181.88833333333335,239,1,0.9958333333333333,0.004166666666666667,0.6,32,0,0.9170895450783574,0.6054484844207764,0.9651180505752563,187,0.7791666666666667,1311332.0292887029,118881,1617264,1873.6678476475463,2026-05-25T18:03:17Z,C:\Users\shivp\Downloads\Research\DATASET\Transferlearning\cow_face_sequences_thesis_stride8\output\sequences\healthy\cow_370_healthy\sequence_yashan_dhaliwal_ra_fd2974f5_t056s
24,thesis_stride8_qa,43,370,Healthy,Healthy,healthy,after_exercise,Yashan Dhaliwal RAC Data 2025,"21 Feb 2025/After Exercise/370/Video 2025-02-21, 9 55 13 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\21 Feb 2025\After Exercise\370\Video 2025-02-21, 9 55 13 AM.mov",10.0,24.0,240,224,80.0,90.0,8.0,2.0,30.00192425755729,5457,181.88833333333335,236,4,0.9833333333333333,0.016666666666666666,0.6,32,0,0.8744397140660528,0.6360270380973816,0.9587616324424744,37,0.15416666666666667,1359908.8262711863,520520,1668600,2087.3626125148844,2026-05-25T18:06:11Z,C:\Users\shivp\Downloads\Research\DATASET\Transferlearning\cow_face_sequences_thesis_stride8\output\sequences\healthy\cow_370_healthy\sequence_yashan_dhaliwal_ra_fd2974f5_t080s
25,thesis_stride8_qa,44,370,Healthy,Healthy,healthy,after_exercise,Yashan Dhaliwal RAC Data 2025,"21 Feb 2025/After Exercise/370/Video 2025-02-21, 9 55 13 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\21 Feb 2025\After Exercise\370\Video 2025-02-21, 9 55 13 AM.mov",10.0,24.0,240,224,88.0,98.0,8.0,2.0,30.00192425755729,5457,181.88833333333335,223,17,0.9291666666666667,0.07083333333333333,0.6,32,0,0.8407832760981915,0.6002606749534607,0.9556536078453064,62,0.25833333333333336,1341294.4394618834,191840,1575720,1946.7858318084443,2026-05-25T18:07:11Z,C:\Users\shivp\Downloads\Research\DATASET\Transferlearning\cow_face_sequences_thesis_stride8\output\sequences\healthy\cow_370_healthy\sequence_yashan_dhaliwal_ra_fd2974f5_t088s
26,thesis_stride8_qa,49,370,Healthy,Healthy,healthy,after_exercise,Yashan Dhaliwal RAC Data 2025,"21 Feb 2025/After Exercise/370/Video 2025-02-21, 9 55 13 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\21 Feb 2025\After Exercise\370\Video 2025-02-21, 9 55 13 AM.mov",10.0,24.0,240,224,128.0,138.0,8.0,2.0,30.00192425755729,5457,181.88833333333335,233,7,0.9708333333333333,0.029166666666666667,0.6,32,0,0.8356906659101724,0.6000005006790161,0.9468042254447937,33,0.1375,1317125.1802575106,158218,1560600,2062.851757000347,2026-05-25T18:11:28Z,C:\Users\shivp\Downloads\Research\DATASET\Transferlearning\cow_face_sequences_thesis_stride8\output\sequences\healthy\cow_370_healthy\sequence_yashan_dhaliwal_ra_fd2974f5_t128s
27,thesis_stride8_qa,50,370,Healthy,Healthy,healthy,after_exercise,Yashan Dhaliwal RAC Data 2025,"21 Feb 2025/After Exercise/370/Video 2025-02-21, 9 55 13 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\21 Feb 2025\After Exercise\370\Video 2025-02-21, 9 55 13 AM.mov",10.0,24.0,240,224,136.0,146.0,8.0,2.0,30.00192425755729,5457,181.88833333333335,236,4,0.9833333333333333,0.016666666666666666,0.6,32,0,0.8897778437299243,0.6017071604728699,0.9478110074996948,48,0.2,1150275.3559322034,174720,1288560,1946.9664829225155,2026-05-25T18:12:19Z,C:\Users\shivp\Downloads\Research\DATASET\Transferlearning\cow_face_sequences_thesis_stride8\output\sequences\healthy\cow_370_healthy\sequence_yashan_dhaliwal_ra_fd2974f5_t136s
28,thesis_stride8_qa,51,370,Healthy,Healthy,healthy,after_exercise,Yashan Dhaliwal RAC Data 2025,"21 Feb 2025/After Exercise/370/Video 2025-02-21, 9 55 13 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\21 Feb 2025\After Exercise\370\Video 2025-02-21, 9 55 13 AM.mov",10.0,24.0,240,224,144.0,154.0,8.0,2.0,30.00192425755729,5457,181.88833333333335,239,1,0.9958333333333333,0.004166666666666667,0.6,32,0,0.868004379910904,0.6251004338264465,0.9502789378166199,93,0.3875,1381227.9456066946,1018012,1621080,2084.7774440913445,2026-05-25T18:13:14Z,C:\Users\shivp\Downloads\Research\DATASET\Transferlearning\cow_face_sequences_thesis_stride8\output\sequences\healthy\cow_370_healthy\sequence_yashan_dhaliwal_ra_fd2974f5_t144s
29,thesis_stride8_qa,52,370,Healthy,Healthy,healthy,after_exercise,Yashan Dhaliwal RAC Data 2025,"21 Feb 2025/After Exercise/370/Video 2025-02-21, 9 55 13 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\21 Feb 2025\After Exercise\370\Video 2025-02-21, 9 55 13 AM.mov",10.0,24.0,240,224,152.0,162.0,8.0,2.0,30.00192425755729,5457,181.88833333333335,240,0,1.0,0.0,0.6,32,0,0.8113641547660033,0.6117462515830994,0.9505654573440552,195,0.8125,1140999.8083333333,86224,1508760,1947.7318512471686,2026-05-25T18:14:04Z,C:\Users\shivp\Downloads\Research\DATASET\Transferlearning\cow_face_sequences_thesis_stride8\output\sequences\healthy\cow_370_healthy\sequence_yashan_dhaliwal_ra_fd2974f5_t152s
30,thesis_stride8_qa,53,370,Healthy,Healthy,healthy,after_exercise,Yashan Dhaliwal RAC Data 2025,"21 Feb 2025/After Exercise/370/Video 2025-02-21, 9 55 13 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\21 Feb 2025\After Exercise\370\Video 2025-02-21, 9 55 13 AM.mov",10.0,24.0,240,224,160.0,170.0,8.0,2.0,30.00192425755729,5457,181.88833333333335,235,5,0.9791666666666666,0.020833333333333332,0.6,32,0,0.8453541940831123,0.6026390790939331,0.9505654573440552,218,0.9083333333333333,1172386.2978723405,489616,1306305,2235.565321738237,2026-05-25T18:14:54Z,C:\Users\shivp\Downloads\Research\DATASET\Transferlearning\cow_face_sequences_thesis_stride8\output\sequences\healthy\cow_370_healthy\sequence_yashan_dhaliwal_ra_fd2974f5_t160s
31,thesis_stride8_qa,54,370,Healthy,Healthy,healthy,after_exercise,Yashan Dhaliwal RAC Data 2025,"21 Feb 2025/After Exercise/370/Video 2025-02-21, 9 55 13 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\21 Feb 2025\After Exercise\370\Video 2025-02-21, 9 55 13 AM.mov",10.0,24.0,240,224,168.0,178.0,8.0,2.0,30.00192425755729,5457,181.88833333333335,216,24,0.9,0.1,0.6,32,0,0.8658010515349882,0.602641761302948,0.964570164680481,77,0.32083333333333336,1278283.6064814816,638162,1527120,2301.1050126158084,2026-05-25T18:15:44Z,C:\Users\shivp\Downloads\Research\DATASET\Transferlearning\cow_face_sequences_thesis_stride8\output\sequences\healthy\cow_370_healthy\sequence_yashan_dhaliwal_ra_fd2974f5_t168s
32,thesis_stride8_qa,56,370,Healthy,Healthy,healthy,during_exercise,Yashan Dhaliwal RAC Data 2025,"24 Feb 2025/During Exercise/370/Video 2025-02-24, 9 44 01 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\24 Feb 2025\During Exercise\370\Video 2025-02-24, 9 44 01 AM.mov",10.0,24.0,240,224,8.0,18.0,8.0,2.0,29.996806302230265,3757,125.24666666666667,216,24,0.9,0.1,0.6,32,0,0.8371512718774654,0.6016625761985779,0.9612578749656677,97,0.4041666666666667,924286.8796296297,122475,1728000,1513.9487216560838,2026-05-25T18:17:19Z,C:\Users\shivp\Downloads\Research\DATASET\Transferlearning\cow_face_sequences_thesis_stride8\output\sequences\healthy\cow_370_healthy\sequence_yashan_dhaliwal_ra_8359c601_t008s
33,thesis_stride8_qa,57,370,Healthy,Healthy,healthy,during_exercise,Yashan Dhaliwal RAC Data 2025,"24 Feb 2025/During Exercise/370/Video 2025-02-24, 9 44 01 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\24 Feb 2025\During Exercise\370\Video 2025-02-24, 9 44 01 AM.mov",10.0,24.0,240,224,16.0,26.0,8.0,2.0,29.996806302230265,3757,125.24666666666667,216,24,0.9,0.1,0.6,32,0,0.8305505218881147,0.6000109910964966,0.9547937512397766,79,0.32916666666666666,1160736.1990740742,16683,1734250,1871.4940586349462,2026-05-25T18:18:09Z,C:\Users\shivp\Downloads\Research\DATASET\Transferlearning\cow_face_sequences_thesis_stride8\output\sequences\healthy\cow_370_healthy\sequence_yashan_dhaliwal_ra_8359c601_t016s
