include,exclude_reasons,sequence_index,cow_id,target,weak_label_text,health_condition,dataset_root,relative_path,detected_frames,filled_frames,detection_rate,filled_rate,mean_detection_confidence,min_detection_confidence
True,,20,404,0,Healthy,healthy folder,Truro Cow Video Data,healthy cows after exercise/Oct 6/404.mov,228.0,12.0,0.95,0.05,0.8915525588550066,
True,,21,349,1,Unhealthy,sudden fall,Cow 349 - Unhealthy (sudden fall),"Video 2025-03-28, 2 35 10 PM.mov",240.0,0.0,1.0,0.0,0.9362290667990844,
True,,22,363,1,Unhealthy,lameness,Truro Cow Video Data,unhealthy cows after exercise/Nov 28/363-lameness.mov,240.0,0.0,1.0,0.0,0.9201346014936765,
True,,23,436,0,Healthy,healthy,Yashan Dhaliwal RAC Data 2025,"27 Feb 2025/Before Exercise/436/Video 2025-02-27, 2 29 11 PM.mov",240.0,0.0,1.0,0.0,0.9348028359313806,
True,,24,439,0,Healthy,healthy folder,Truro Cow Video Data,healthy cows before going out/Sep 8/439.mov,240.0,0.0,1.0,0.0,0.8954004652798175,
True,,25,370,0,Healthy,healthy,Yashan Dhaliwal RAC Data 2025,"10 March 2025/Before exercise/370/Video 2025-03-10, 6 25 31 AM.mov",240.0,0.0,1.0,0.0,0.9255412615835666,
True,,26,415,1,Unhealthy,lameness,Truro Cow Video Data,unhealthy cows after exercise/Sep 5/415 - lameness.mov,240.0,0.0,1.0,0.0,0.8978516126672427,
True,,27,354,1,Unhealthy,lame,Yashan Dhaliwal RAC Data 2025,"24 Feb 2025/During Exercise/354/Video 2025-02-24, 9 41 39 AM.mov",240.0,0.0,1.0,0.0,0.9299345922966799,
True,,28,255,1,Unhealthy,lameness,Truro Cow Video Data,unhealthy cows before going out/oct 29/255-lameness.mov,228.0,12.0,0.95,0.05,0.9114086829256594,
True,,29,405,0,Healthy,healthy folder,Truro Cow Video Data,healthy cows after exercise/Sep 8/405.mov,240.0,0.0,1.0,0.0,0.9110889226198197,
True,,30,355,0,Healthy,healthy folder,Truro Cow Video Data,healthy cows before going out/Sep 8/355.mov,240.0,0.0,1.0,0.0,0.9403041946391265,
True,,31,352,0,Healthy,healthy folder,Truro Cow Video Data,healthy cows before going out/Nov 28/352.mov,240.0,0.0,1.0,0.0,0.923103096584479,
True,,32,408,0,Healthy,healthy folder,Truro Cow Video Data,healthy cows before going out/Sep 4/408.mov,240.0,0.0,1.0,0.0,0.9120800830423832,
True,,33,394,1,Unhealthy,lameness,Truro Cow Video Data,unhealthy cows before going out/Sep 26/394-lameness.mov,240.0,0.0,1.0,0.0,0.9465217828750611,
True,,34,323,1,Unhealthy,lameness,Truro Cow Video Data,unhealthy cows after exercise/Nov 7/323-lameness.mov,240.0,0.0,1.0,0.0,0.9206166617572308,
True,,35,310,1,Unhealthy,possible mastitis,Yashan Dhaliwal RAC Data 2025,"24 Feb 2025/Before Exercise/310/Video 2025-02-24, 8 58 07 AM.mov",240.0,0.0,1.0,0.0,0.9358627900481225,
True,,36,406,0,Healthy,healthy folder,Truro Cow Video Data,healthy cows after exercise/Sep 5/406.mov,109.0,131.0,0.45416666666666666,0.5458333333333333,0.9147433665914273,
True,,37,387,0,Healthy,healthy folder,Truro Cow Video Data,healthy cows before going out/Sep 26/387.mov,240.0,0.0,1.0,0.0,0.9284285965065161,
True,,38,402,0,Healthy,healthy folder,Truro Cow Video Data,healthy cows before going out/Oct 29/402.mov,220.0,20.0,0.9166666666666666,0.08333333333333333,0.8583921828053215,
True,,39,446,1,Unhealthy,fresh cows,Truro Cow Video Data,unhealthy cows before going out/Sep 4/446- fresh cows.mov,223.0,17.0,0.9291666666666667,0.07083333333333333,0.8755478757379301,
True,,40,403,1,Unhealthy,lameness,Truro Cow Video Data,unhealthy cows before going out/Sep 8/403- lameness.mov,240.0,0.0,1.0,0.0,0.9137769490480423,
True,,41,374,0,Healthy,healthy folder,Truro Cow Video Data,healthy cows before going out/Nov 7/374.mov,240.0,0.0,1.0,0.0,0.9324015706777573,
True,,42,421,1,Unhealthy,lameness/stiffness,Yashan Dhaliwal RAC Data 2025,"March 24 2025/After exercise/421/Video 2025-03-24, 7 53 24 AM.mov",240.0,0.0,1.0,0.0,0.9310943168898423,
True,,43,433,1,Unhealthy,possible mastitis,Yashan Dhaliwal RAC Data 2025,"17 March 2025/After exercise/433/Video 2025-03-17, 8 47 40 AM.mov",240.0,0.0,1.0,0.0,0.9380414597690105,
True,,44,438,1,Unhealthy,possible metritis,Yashan Dhaliwal RAC Data 2025,"20 Feb 2025/During Exercise/438/Video 2025-02-20, 9 16 25 AM.mov",142.0,98.0,0.5916666666666667,0.4083333333333333,0.7666452296183143,
True,,45,428,0,Healthy,healthy folder,Truro Cow Video Data,healthy cows after exercise/Nov 5/428.mov,240.0,0.0,1.0,0.0,0.9216979759434859,
True,,46,426,0,Healthy,healthy folder,Truro Cow Video Data,healthy cows before going out/Nov 7/426.mov,240.0,0.0,1.0,0.0,0.9348373867571353,
True,,47,417,0,Healthy,healthy,Yashan Dhaliwal RAC Data 2025,"March 24 2025/After exercise/417/Video 2025-03-24, 7 58 46 AM.mov",240.0,0.0,1.0,0.0,0.921450388431549,
True,,48,427,1,Unhealthy,lameness,Truro Cow Video Data,unhealthy cows after exercise/Sep 4/427- lameness.mov,240.0,0.0,1.0,0.0,0.9348571506639322,
True,,49,378,0,Healthy,healthy,Yashan Dhaliwal RAC Data 2025,"7 March 2025/Before Exercise/378/Video 2025-03-07, 6 21 02 AM.mov",240.0,0.0,1.0,0.0,0.9378780769805114,
True,,50,425,1,Unhealthy,lameness,Truro Cow Video Data,unhealthy cows after exercise/Oct 29/425-lameness.mov,240.0,0.0,1.0,0.0,0.9115876237551371,
True,,51,432,0,Healthy,healthy folder,Truro Cow Video Data,healthy cows after exercise/Sep 8/432.mov,240.0,0.0,1.0,0.0,0.9269799560308456,
True,,52,404,0,Healthy,healthy folder,Truro Cow Video Data,healthy cows after exercise/Oct 1/404.mov,240.0,0.0,1.0,0.0,0.8944588594138623,
True,,53,349,1,Unhealthy,sudden fall,Cow 349 - Unhealthy (sudden fall),"Video 2025-03-28, 2 47 34 PM.mov",235.0,5.0,0.9791666666666666,0.020833333333333332,0.8500771225766933,
True,,54,363,1,Unhealthy,lameness,Truro Cow Video Data,unhealthy cows before going out/Nov 28/363-lameness.mov,240.0,0.0,1.0,0.0,0.9282889425754547,
True,,55,436,0,Healthy,healthy,Yashan Dhaliwal RAC Data 2025,20 Feb 2025/After Exercise/436 (1)/IMG_0548.MOV,240.0,0.0,1.0,0.0,0.9135668471455574,
True,,56,439,0,Healthy,healthy folder,Truro Cow Video Data,healthy cows after exercise/Sep 5/439.mov,240.0,0.0,1.0,0.0,0.9179200741151968,
True,,57,370,0,Healthy,healthy,Yashan Dhaliwal RAC Data 2025,"27 Feb 2025/During Exercise/370/Video 2025-02-27, 3 22 44 PM.mov",199.0,41.0,0.8291666666666667,0.17083333333333334,0.8366024155712607,
True,,58,415,1,Unhealthy,lameness,Truro Cow Video Data,unhealthy cows after exercise/Sep 4/415 - lameness.mov,240.0,0.0,1.0,0.0,0.9029717360933621,
True,,59,354,1,Unhealthy,lame,Yashan Dhaliwal RAC Data 2025,"March 19 2025/After exercise/354/Video 2025-03-19, 8 04 47 AM.mov",240.0,0.0,1.0,0.0,0.8884655413528283,
True,,60,255,1,Unhealthy,lame,Yashan Dhaliwal RAC Data 2025,"10 March 2025/During exercise/255/Video 2025-03-10, 6 58 02 AM.mov",240.0,0.0,1.0,0.0,0.9107565005620321,
True,,61,405,0,Healthy,healthy folder,Truro Cow Video Data,healthy cows before going out/Sep 8/405.mov,240.0,0.0,1.0,0.0,0.9171775318682194,
True,,62,355,0,Healthy,healthy folder,Truro Cow Video Data,healthy cows before going out/Sep 4/355.mov,240.0,0.0,1.0,0.0,0.9181237099071343,
True,,63,352,0,Healthy,healthy folder,Truro Cow Video Data,healthy cows after exercise/Nov 28/352.mov,240.0,0.0,1.0,0.0,0.9148002174993356,
True,,64,408,0,Healthy,healthy folder,Truro Cow Video Data,healthy cows before going out/Sep 5/408.mov,240.0,0.0,1.0,0.0,0.9413356443246206,
True,,65,394,1,Unhealthy,lameness,Truro Cow Video Data,unhealthy cows after exercise/Sep 26/394-lameness.mov,217.0,23.0,0.9041666666666667,0.09583333333333334,0.9038919064855795,
True,,66,323,1,Unhealthy,lameness,Truro Cow Video Data,unhealthy cows before going out/Nov 10/323- lameness.mov,240.0,0.0,1.0,0.0,0.9261671207845211,
True,,67,310,1,Unhealthy,possible mastitis,Yashan Dhaliwal RAC Data 2025,"17 March 2025/Before exercise/310/Video 2025-03-17, 7 06 35 AM.mov",240.0,0.0,1.0,0.0,0.9214439620574315,
True,,68,406,0,Healthy,healthy folder,Truro Cow Video Data,healthy cows after exercise/Nov 28/406.mov,240.0,0.0,1.0,0.0,0.907888301461935,
True,,69,387,0,Healthy,healthy folder,Truro Cow Video Data,healthy cows before going out/Oct 1/387.mov,240.0,0.0,1.0,0.0,0.911483658105135,
True,,70,402,0,Healthy,healthy folder,Truro Cow Video Data,healthy cows before going out/Nov 10/402.mov,240.0,0.0,1.0,0.0,0.9385054714977741,
True,,71,446,1,Unhealthy,fresh cows,Truro Cow Video Data,unhealthy cows after exercise/Sep 4/446- fresh cows.mov,221.0,19.0,0.9208333333333333,0.07916666666666666,0.8468000608332017,
True,,72,403,1,Unhealthy,lameness,Truro Cow Video Data,unhealthy cows after exercise/Sep 5/403- lameness.mov,240.0,0.0,1.0,0.0,0.9292647488415241,
True,,73,374,0,Healthy,healthy folder,Truro Cow Video Data,healthy cows after exercise/Nov 7/374.mov,240.0,0.0,1.0,0.0,0.9254625787337621,
True,,74,421,1,Unhealthy,lameness/stiffness,Yashan Dhaliwal RAC Data 2025,"March 24 2025/During exercise/421/Video 2025-03-24, 7 21 47 AM.mov",240.0,0.0,1.0,0.0,0.9105600071450074,
True,,75,433,1,Unhealthy,possible mastitis,Yashan Dhaliwal RAC Data 2025,"27 Feb 2025/After Exercise/433/Video 2025-02-27, 3 51 28 PM.mov",240.0,0.0,1.0,0.0,0.938522698233525,
True,,76,438,1,Unhealthy,possible metritis,Yashan Dhaliwal RAC Data 2025,"19 Feb 2025/During Exercise/438/Video 2025-02-19, 9 29 42 AM.mov",227.0,13.0,0.9458333333333333,0.05416666666666667,0.7865674976210237,
True,,77,426,0,Healthy,healthy folder,Truro Cow Video Data,healthy cows after exercise/Nov 10/426.mov,240.0,0.0,1.0,0.0,0.8933867079516252,
True,,78,417,1,Unhealthy,fresh cows,Truro Cow Video Data,unhealthy cows after exercise/Sep 8/417- fresh cows .mov,240.0,0.0,1.0,0.0,0.8719493227700392,
True,,79,427,1,Unhealthy,lameness,Truro Cow Video Data,unhealthy cows after exercise/Sep 8/427- lameness.mov,240.0,0.0,1.0,0.0,0.9333582714200019,
True,,80,378,0,Healthy,healthy,Yashan Dhaliwal RAC Data 2025,"20 Feb 2025/During Exercise/378/Video 2025-02-20, 9 29 50 AM.mov",240.0,0.0,1.0,0.0,0.8809574571748574,
True,,81,425,1,Unhealthy,lameness,Truro Cow Video Data,unhealthy cows before going out/oct 29/425-lameness.mov,240.0,0.0,1.0,0.0,0.9149432549873988,
True,,82,432,0,Healthy,healthy folder,Truro Cow Video Data,healthy cows before going out/Sep 5/432.mov,240.0,0.0,1.0,0.0,0.9382756993174552,
True,,83,404,0,Healthy,healthy folder,Truro Cow Video Data,healthy cows before going out/Nov 10/404.mov,240.0,0.0,1.0,0.0,0.9298894502222538,
True,,84,349,1,Unhealthy,sudden fall,Cow 349 - Unhealthy (sudden fall),"Video 2025-03-28, 2 31 06 PM.mov",240.0,0.0,1.0,0.0,0.9012683374186357,
True,,85,436,0,Healthy,healthy,Yashan Dhaliwal RAC Data 2025,"19 Feb 2025/Before Exercise/436/Video 2025-02-19, 8 37 16 AM.mov",240.0,0.0,1.0,0.0,0.9138724977771441,
True,,86,439,0,Healthy,healthy folder,Truro Cow Video Data,healthy cows before going out/Sep 4/439.mov,240.0,0.0,1.0,0.0,0.8978958723445734,
True,,87,370,0,Healthy,healthy,Yashan Dhaliwal RAC Data 2025,"7 March 2025/After Exercise/370/Video 2025-03-07, 7 32 51 AM.mov",240.0,0.0,1.0,0.0,0.9097090857724349,
True,,88,415,1,Unhealthy,lameness,Truro Cow Video Data,unhealthy cows after exercise/Sep 8/415 - lameness.mov,240.0,0.0,1.0,0.0,0.9057541300853094,
True,,89,354,1,Unhealthy,lame,Yashan Dhaliwal RAC Data 2025,"26 March 2025/After exercise/354/Video 2025-03-26, 8 32 59 AM.mov",240.0,0.0,1.0,0.0,0.9387057942648729,
True,,90,255,1,Unhealthy,lameness,Truro Cow Video Data,unhealthy cows before going out/Nov 10/255- lameness.mov,240.0,0.0,1.0,0.0,0.922835485637188,
True,,91,405,0,Healthy,healthy folder,Truro Cow Video Data,healthy cows after exercise/Sep 4/405.mov,240.0,0.0,1.0,0.0,0.9234221835931142,
True,,92,355,0,Healthy,healthy folder,Truro Cow Video Data,healthy cows before going out/Sep 5/355.mov,240.0,0.0,1.0,0.0,0.9087575907508533,
True,,93,408,0,Healthy,healthy folder,Truro Cow Video Data,healthy cows after exercise/Sep 4/408.mov,240.0,0.0,1.0,0.0,0.9229056743284066,
True,,94,394,1,Unhealthy,lameness,Truro Cow Video Data,unhealthy cows after exercise/Nov 10/394-lameness.mov,240.0,0.0,1.0,0.0,0.9205281955500444,
True,,95,323,1,Unhealthy,lameness,Truro Cow Video Data,unhealthy cows after exercise/Nov 28/323-lameness.mov,240.0,0.0,1.0,0.0,0.9107326470315457,
True,,96,310,1,Unhealthy,possible mastitis,Yashan Dhaliwal RAC Data 2025,"27 Feb 2025/Before Exercise/310/Video 2025-02-27, 2 45 31 PM.mov",240.0,0.0,1.0,0.0,0.9483591350416343,
True,,97,406,0,Healthy,healthy folder,Truro Cow Video Data,healthy cows after exercise/Sep 4/406.mov,239.0,1.0,0.9958333333333333,0.004166666666666667,0.8010908008619333,
True,,98,387,0,Healthy,healthy folder,Truro Cow Video Data,healthy cows after exercise/Sep 29/387.mov,240.0,0.0,1.0,0.0,0.9007205563286941,
True,,99,402,0,Healthy,healthy folder,Truro Cow Video Data,healthy cows after exercise/Oct 29/402.mov,240.0,0.0,1.0,0.0,0.931898154815038,
True,,100,446,1,Unhealthy,fresh cows,Truro Cow Video Data,unhealthy cows before going out/Sep 8/446- fresh cows.mov,240.0,0.0,1.0,0.0,0.9309417222936948,
True,,101,403,1,Unhealthy,lameness,Truro Cow Video Data,unhealthy cows after exercise/Sep 29/403-lameness .mov,240.0,0.0,1.0,0.0,0.9110427344838778,
True,,102,374,0,Healthy,healthy folder,Truro Cow Video Data,healthy cows before going out/Oct 29/374.mov,231.0,9.0,0.9625,0.0375,0.9165891452785179,
True,,103,421,1,Unhealthy,lameness/stiffness,Yashan Dhaliwal RAC Data 2025,"28 Feb 2025/After Exercise/421/Video 2025-02-28, 9 52 07 AM.mov",240.0,0.0,1.0,0.0,0.9399936330815156,
True,,104,433,1,Unhealthy,possible mastitis,Yashan Dhaliwal RAC Data 2025,"21 Feb 2025/Before Exercise/433/Video 2025-02-21, 8 45 57 AM.mov",240.0,0.0,1.0,0.0,0.9260673398772875,
True,,105,438,1,Unhealthy,possible metritis,Yashan Dhaliwal RAC Data 2025,"6 March 2025/During Exercise/438/Video 2025-03-06, 7 01 07 AM.mov",240.0,0.0,1.0,0.0,0.9386081740260124,
True,,106,426,0,Healthy,healthy folder,Truro Cow Video Data,healthy cows before going out/Nov 10/426.mov,226.0,14.0,0.9416666666666667,0.058333333333333334,0.9181157437573492,
True,,107,417,0,Healthy,healthy,Yashan Dhaliwal RAC Data 2025,"20 Feb 2025/Before Exercise/417/Video 2025-02-20, 8 47 36 AM.mov",240.0,0.0,1.0,0.0,0.9251001996298631,
True,,108,427,1,Unhealthy,lameness,Truro Cow Video Data,unhealthy cows after exercise/Sep 5/427- lameness.mov,240.0,0.0,1.0,0.0,0.9237723007798195,
True,,109,378,0,Healthy,healthy,Yashan Dhaliwal RAC Data 2025,"6 March 2025/During Exercise/378/Video 2025-03-06, 7 10 01 AM.mov",240.0,0.0,1.0,0.0,0.9053575110932192,
True,,110,425,1,Unhealthy,lameness,Truro Cow Video Data,unhealthy cows before going out/Nov 10/425- lameness.mov,240.0,0.0,1.0,0.0,0.9359828511873881,
True,,111,432,0,Healthy,healthy folder,Truro Cow Video Data,healthy cows before going out/Sep 4/432.mov,240.0,0.0,1.0,0.0,0.9305532145003478,
True,,112,404,0,Healthy,healthy folder,Truro Cow Video Data,healthy cows after exercise/Sep 26/404.mov,240.0,0.0,1.0,0.0,0.894376415759325,
True,,113,349,1,Unhealthy,sudden fall,Cow 349 - Unhealthy (sudden fall),"Video 2025-03-28, 2 39 08 PM.mov",240.0,0.0,1.0,0.0,0.8926929208139579,
True,,114,436,0,Healthy,healthy,Yashan Dhaliwal RAC Data 2025,"6 March 2025/During Exercise/436/Video 2025-03-06, 7 15 03 AM.mov",234.0,6.0,0.975,0.025,0.8841857708926893,
True,,115,439,0,Healthy,healthy folder,Truro Cow Video Data,healthy cows before going out/Sep 5/439.mov,240.0,0.0,1.0,0.0,0.9337034339706103,
True,,116,370,0,Healthy,healthy,Yashan Dhaliwal RAC Data 2025,"March 19 2025/During exercise/370/Video 2025-03-19, 7 25 11 AM.mov",240.0,0.0,1.0,0.0,0.9330222343405088,
True,,117,415,1,Unhealthy,lameness,Truro Cow Video Data,unhealthy cows before going out/Sep 5/415 - lameness.mov,240.0,0.0,1.0,0.0,0.9325070497890313,
True,,118,354,1,Unhealthy,lame,Yashan Dhaliwal RAC Data 2025,"21 Feb 2025/During Exercise/354/Video 2025-02-21, 9 23 37 AM.mov",240.0,0.0,1.0,0.0,0.9070203676819801,
True,,119,255,1,Unhealthy,lame,Yashan Dhaliwal RAC Data 2025,"6 March 2025/After Exercise/255/Video 2025-03-06, 7 36 58 AM.mov",240.0,0.0,1.0,0.0,0.9342030165096123,
True,,120,405,0,Healthy,healthy folder,Truro Cow Video Data,healthy cows after exercise/Sep 5/405.mov,240.0,0.0,1.0,0.0,0.9110773128767808,
True,,121,355,0,Healthy,healthy folder,Truro Cow Video Data,healthy cows after exercise/Sep 4/355.mov,240.0,0.0,1.0,0.0,0.9202614963054657,
True,,122,408,0,Healthy,healthy folder,Truro Cow Video Data,healthy cows after exercise/Sep 5/408.mov,240.0,0.0,1.0,0.0,0.9373151915768783,
True,,123,394,1,Unhealthy,lameness,Truro Cow Video Data,unhealthy cows after exercise/Nov 5/394-lameness.mov,240.0,0.0,1.0,0.0,0.9372839137911797,
True,,124,323,1,Unhealthy,lameness,Truro Cow Video Data,unhealthy cows after exercise/Nov 5/323-lameness.mov,240.0,0.0,1.0,0.0,0.9248249081273874,
True,,125,310,1,Unhealthy,possible mastitis,Yashan Dhaliwal RAC Data 2025,"19 Feb 2025/During Exercise/310/Video 2025-02-19, 9 27 32 AM.mov",240.0,0.0,1.0,0.0,0.9321006392439206,
True,,126,406,0,Healthy,healthy folder,Truro Cow Video Data,healthy cows after exercise/Sep 8/406.mov,240.0,0.0,1.0,0.0,0.9387013539671898,
True,,127,387,0,Healthy,healthy folder,Truro Cow Video Data,healthy cows after exercise/Sep 26/387.mov,240.0,0.0,1.0,0.0,0.8927430885533492,
True,,128,402,0,Healthy,healthy folder,Truro Cow Video Data,healthy cows before going out/Sep 26/402.mov,240.0,0.0,1.0,0.0,0.9336460113525391,
True,,129,446,1,Unhealthy,fresh cows,Truro Cow Video Data,unhealthy cows after exercise/Sep 8/446- fresh cows.mov,240.0,0.0,1.0,0.0,0.9242884775002798,
True,,130,403,1,Unhealthy,lameness,Truro Cow Video Data,unhealthy cows after exercise/Oct 6/403-lameness.mov,240.0,0.0,1.0,0.0,0.92455093562603,
True,,131,374,0,Healthy,healthy folder,Truro Cow Video Data,healthy cows before going out/Nov 5/374.mov,240.0,0.0,1.0,0.0,0.9113782299061616,
True,,132,421,1,Unhealthy,lameness/stiffness,Yashan Dhaliwal RAC Data 2025,"7 March 2025/Before Exercise/421/Video 2025-03-07, 6 17 24 AM.mov",240.0,0.0,1.0,0.0,0.9428104480107625,
True,,133,433,1,Unhealthy,possible mastitis,Yashan Dhaliwal RAC Data 2025,"7 March 2025/After Exercise/433/Video 2025-03-07, 7 50 08 AM.mov",240.0,0.0,1.0,0.0,0.9389747234682242,
True,,134,438,1,Unhealthy,possible metritis,Yashan Dhaliwal RAC Data 2025,"7 March 2025/After Exercise/438/Video 2025-03-07, 7 57 09 AM.mov",240.0,0.0,1.0,0.0,0.9332467970748742,
True,,135,417,0,Healthy,healthy,Yashan Dhaliwal RAC Data 2025,"21 Feb 2025/During Exercise/417/Video 2025-02-21, 9 21 06 AM.mov",202.0,38.0,0.8416666666666667,0.15833333333333333,0.786683981961543,
True,,136,427,1,Unhealthy,lameness,Truro Cow Video Data,unhealthy cows before going out/Sep 4/427-lameness.mov,240.0,0.0,1.0,0.0,0.9374050877988338,
True,,137,378,0,Healthy,healthy,Yashan Dhaliwal RAC Data 2025,"10 March 2025/During exercise/378/Video 2025-03-10, 7 01 58 AM.mov",240.0,0.0,1.0,0.0,0.9362057482202848,
True,,138,425,1,Unhealthy,lameness,Truro Cow Video Data,unhealthy cows after exercise/Sep 26/425-lameness.mov,156.0,84.0,0.65,0.35,0.8682629133646305,
True,,139,432,0,Healthy,healthy folder,Truro Cow Video Data,healthy cows after exercise/Sep 5/432.mov,240.0,0.0,1.0,0.0,0.9230889822045962,
True,,140,404,0,Healthy,healthy folder,Truro Cow Video Data,healthy cows before going out/Nov 28/404.mov,240.0,0.0,1.0,0.0,0.9291095691422622,
True,,141,436,0,Healthy,healthy,Yashan Dhaliwal RAC Data 2025,"24 Feb 2025/After Exercise/436/Video 2025-02-24, 10 44 42 AM.mov",240.0,0.0,1.0,0.0,0.9282110606630644,
True,,142,439,0,Healthy,healthy folder,Truro Cow Video Data,healthy cows after exercise/Sep 8/439.mov,240.0,0.0,1.0,0.0,0.9272120421131452,
True,,143,370,0,Healthy,healthy,Yashan Dhaliwal RAC Data 2025,"10 March 2025/After exercise/370/Video 2025-03-10, 7 43 41 AM.mov",240.0,0.0,1.0,0.0,0.9178075117369493,
True,,144,415,1,Unhealthy,lameness,Truro Cow Video Data,unhealthy cows before going out/Sep 8/415 - lameness.mov,240.0,0.0,1.0,0.0,0.9235168501734734,
True,,145,354,1,Unhealthy,lame,Yashan Dhaliwal RAC Data 2025,"6 March 2025/Before Exercise/354/Video 2025-03-06, 6 35 48 AM.mov",240.0,0.0,1.0,0.0,0.9263859363893668,
True,,146,255,1,Unhealthy,lame,Yashan Dhaliwal RAC Data 2025,"7 March 2025/Before Exercise/255/Video 2025-03-07, 6 15 14 AM.mov",240.0,0.0,1.0,0.0,0.9405695259571075,
True,,147,405,0,Healthy,healthy folder,Truro Cow Video Data,healthy cows before going out/Sep 5/405.mov,240.0,0.0,1.0,0.0,0.936050142844518,
True,,148,355,0,Healthy,healthy folder,Truro Cow Video Data,healthy cows after exercise/Sep 5/355.mov,240.0,0.0,1.0,0.0,0.9303450296322505,
True,,149,408,0,Healthy,healthy folder,Truro Cow Video Data,healthy cows before going out/Sep 8/408.mov,240.0,0.0,1.0,0.0,0.8923432963589827,
True,,150,394,1,Unhealthy,lameness,Truro Cow Video Data,unhealthy cows before going out/Nov 28/394-lameness.mov,240.0,0.0,1.0,0.0,0.9354369682570298,
True,,151,323,1,Unhealthy,lameness,Truro Cow Video Data,unhealthy cows before going out/Nov 5/323- lameness.mov,240.0,0.0,1.0,0.0,0.9309564903378487,
True,,152,310,1,Unhealthy,possible mastitis,Yashan Dhaliwal RAC Data 2025,"19 Feb 2025/After Exercise/310/Video 2025-02-19, 10 04 02 AM.mov",240.0,0.0,1.0,0.0,0.9345259490112464,
True,,153,406,0,Healthy,healthy folder,Truro Cow Video Data,healthy cows before going out/Nov 28/406.mov,167.0,73.0,0.6958333333333333,0.30416666666666664,0.8631549852336952,
True,,154,387,0,Healthy,healthy folder,Truro Cow Video Data,healthy cows before going out/Oct 6/387.mov,240.0,0.0,1.0,0.0,0.9176990941166878,
