sequence_index,cow_id,cow_health_status,video_health_status,health_condition,dataset_root,relative_path,video_path,sequence_seconds,target_fps,frames_per_sequence,crop_size,start_second,end_second,source_fps,source_frame_count,source_duration_sec,detected_frames,filled_frames,confidence_threshold,mean_detection_confidence,min_detection_confidence,max_detection_confidence,created_utc
11,433,Unhealthy,Unhealthy,possible mastitis,Yashan Dhaliwal RAC Data 2025,"March 24 2025/Before exercise/433/Video 2025-03-24, 7 12 23 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\March 24 2025\Before exercise\433\Video 2025-03-24, 7 12 23 AM.mov",10.0,24.0,240,224,56.61333333333334,66.61333333333334,30.001623025319194,3697,123.22666666666667,232,8,0.6,0.9055813211819221,0.6103702187538147,0.9465868473052979,2026-05-01T06:20:25Z
12,438,Unhealthy,Unhealthy,possible metritis,Yashan Dhaliwal RAC Data 2025,"20 Feb 2025/Before Exercise/438/Video 2025-02-20, 8 57 35 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\20 Feb 2025\Before Exercise\438\Video 2025-02-20, 8 57 35 AM.mov",10.0,24.0,240,224,87.9225,97.9225,29.998116710161693,5575,185.845,240,0,0.6,0.933679478118817,0.9062661528587341,0.9490783214569092,2026-05-01T06:21:23Z
13,428,Healthy,Healthy,healthy folder,Truro Cow Video Data,healthy cows before going out/Nov 5/428.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\healthy cows before going out\Nov 5\428.mov,10.0,24.0,240,224,22.873333333333335,32.873333333333335,29.99282468309017,1672,55.74666666666667,228,12,0.6,0.809245539600389,0.6067215204238892,0.9412866234779358,2026-05-01T06:22:19Z
14,426,Healthy,Healthy,healthy folder,Truro Cow Video Data,healthy cows after exercise/Nov 7/426.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\healthy cows after exercise\Nov 7\426.mov,10.0,24.0,240,224,25.255,35.254999999999995,29.995042141794745,1815,60.51,240,0,0.6,0.9147064263621966,0.8220672011375427,0.9398560523986816,2026-05-01T06:23:15Z
15,417,Unhealthy,Healthy,healthy,Yashan Dhaliwal RAC Data 2025,"12 March 2025/After exercise/417/Video 2025-03-12, 8 10 02 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\12 March 2025\After exercise\417\Video 2025-03-12, 8 10 02 AM.mov",10.0,24.0,240,224,40.51416666666666,50.51416666666666,30.001647838585058,2731,91.02833333333332,240,0,0.6,0.9244140026470026,0.8571392893791199,0.9480911493301392,2026-05-01T06:24:14Z
16,427,Unhealthy,Unhealthy,lameness,Truro Cow Video Data,unhealthy cows before going out/Sep 8/427- lameness.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\unhealthy cows before going out\Sep 8\427- lameness.mov,10.0,24.0,240,224,20.585833333333333,30.585833333333333,29.99706869035599,1535,51.17166666666667,240,0,0.6,0.9299181406696637,0.911389172077179,0.9455105066299438,2026-05-01T06:25:11Z
17,378,Unhealthy,Healthy,healthy,Yashan Dhaliwal RAC Data 2025,"12 March 2025/After exercise/378/Video 2025-03-12, 8 08 18 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\12 March 2025\After exercise\378\Video 2025-03-12, 8 08 18 AM.mov",10.0,24.0,240,224,43.380833333333335,53.380833333333335,30.001550200664862,2903,96.76166666666667,240,0,0.6,0.922410644342502,0.8753578066825867,0.9425162672996521,2026-05-01T06:26:10Z
18,425,Unhealthy,Unhealthy,unhealthy folder,Truro Cow Video Data,unhealthy cows after exercise/Sep 4/425.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\unhealthy cows after exercise\Sep 4\425.mov,10.0,24.0,240,224,27.153333333333336,37.153333333333336,29.99688990255028,1929,64.30666666666667,240,0,0.6,0.9188506041963895,0.8814949989318848,0.9408156871795654,2026-05-01T06:27:09Z
19,432,Healthy,Healthy,healthy folder,Truro Cow Video Data,healthy cows after exercise/Sep 4/432.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\healthy cows after exercise\Sep 4\432.mov,10.0,24.0,240,224,28.313333333333333,38.31333333333333,29.987992795677407,1998,66.62666666666667,240,0,0.6,0.9074539872507255,0.810724139213562,0.9466503858566284,2026-05-01T06:28:07Z
20,404,Healthy,Healthy,healthy folder,Truro Cow Video Data,healthy cows after exercise/Oct 6/404.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\healthy cows after exercise\Oct 6\404.mov,10.0,24.0,240,224,25.82,35.82,29.99675535366645,1849,61.64,228,12,0.6,0.8915525588550066,0.6114859580993652,0.9384257793426514,2026-05-01T06:29:05Z
21,349,Unhealthy,Unhealthy,sudden fall,Cow 349 - Unhealthy (sudden fall),"Video 2025-03-28, 2 35 10 PM.mov","C:\Users\shivp\Downloads\Research\DATASET\Cow 349 - Unhealthy (sudden fall)\Video 2025-03-28, 2 35 10 PM.mov",10.0,24.0,240,224,92.84416666666667,102.84416666666667,30.001788558336813,5871,195.68833333333333,240,0,0.6,0.9362290667990844,0.9124308228492737,0.9486886858940125,2026-05-01T06:30:02Z
22,363,Unhealthy,Unhealthy,lameness,Truro Cow Video Data,unhealthy cows after exercise/Nov 28/363-lameness.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\unhealthy cows after exercise\Nov 28\363-lameness.mov,10.0,24.0,240,224,30.197499999999998,40.1975,30.002130833155764,2112,70.395,240,0,0.6,0.9201346014936765,0.8101434707641602,0.9511604309082031,2026-05-01T06:30:18Z
23,436,Healthy,Healthy,healthy,Yashan Dhaliwal RAC Data 2025,"27 Feb 2025/Before Exercise/436/Video 2025-02-27, 2 29 11 PM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\27 Feb 2025\Before Exercise\436\Video 2025-02-27, 2 29 11 PM.mov",10.0,24.0,240,224,57.69583333333333,67.69583333333333,30.001993752907556,3762,125.39166666666667,240,0,0.6,0.9348028359313806,0.8278675675392151,0.9523541927337646,2026-05-01T06:31:18Z
24,439,Healthy,Healthy,healthy folder,Truro Cow Video Data,healthy cows before going out/Sep 8/439.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\healthy cows before going out\Sep 8\439.mov,10.0,24.0,240,224,22.335833333333333,32.33583333333333,29.99725634850471,1640,54.67166666666667,240,0,0.6,0.8954004652798175,0.8023520112037659,0.9323452115058899,2026-05-01T06:32:16Z
25,370,Healthy,Healthy,healthy,Yashan Dhaliwal RAC Data 2025,"10 March 2025/Before exercise/370/Video 2025-03-10, 6 25 31 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\10 March 2025\Before exercise\370\Video 2025-03-10, 6 25 31 AM.mov",10.0,24.0,240,224,55.580000000000005,65.58000000000001,30.001650709805215,3635,121.16000000000001,240,0,0.6,0.9255412615835666,0.891750156879425,0.9404212236404419,2026-05-01T06:33:16Z
26,415,Unhealthy,Unhealthy,lameness,Truro Cow Video Data,unhealthy cows after exercise/Sep 5/415 - lameness.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\unhealthy cows after exercise\Sep 5\415 - lameness.mov,10.0,24.0,240,224,23.2275,33.2275,29.98848640510141,1693,56.455,240,0,0.6,0.8978516126672427,0.6656382083892822,0.9313393235206604,2026-05-01T06:34:14Z
27,354,Unhealthy,Unhealthy,lame,Yashan Dhaliwal RAC Data 2025,"24 Feb 2025/During Exercise/354/Video 2025-02-24, 9 41 39 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\24 Feb 2025\During Exercise\354\Video 2025-02-24, 9 41 39 AM.mov",10.0,24.0,240,224,55.93,65.93,30.001641227638274,3656,121.86,240,0,0.6,0.9299345922966799,0.8546924591064453,0.9512353539466858,2026-05-01T06:35:13Z
28,255,Unhealthy,Unhealthy,lameness,Truro Cow Video Data,unhealthy cows before going out/oct 29/255-lameness.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\unhealthy cows before going out\oct 29\255-lameness.mov,10.0,24.0,240,224,25.798333333333332,35.79833333333333,30.001623464473187,1848,61.596666666666664,228,12,0.6,0.9114086829256594,0.6042481660842896,0.9467516541481018,2026-05-01T06:35:28Z
29,405,Healthy,Healthy,healthy folder,Truro Cow Video Data,healthy cows after exercise/Sep 8/405.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\healthy cows after exercise\Sep 8\405.mov,10.0,24.0,240,224,20.335833333333333,30.335833333333333,29.997039765812584,1520,50.67166666666667,240,0,0.6,0.9110889226198197,0.7893500328063965,0.9334127306938171,2026-05-01T06:36:27Z
30,355,Healthy,Healthy,healthy folder,Truro Cow Video Data,healthy cows before going out/Sep 8/355.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\healthy cows before going out\Sep 8\355.mov,10.0,24.0,240,224,22.535833333333333,32.53583333333333,29.99727627636716,1652,55.071666666666665,240,0,0.6,0.9403041946391265,0.9239809513092041,0.9558603167533875,2026-05-01T06:37:26Z
31,352,Healthy,Healthy,healthy folder,Truro Cow Video Data,healthy cows before going out/Nov 28/352.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\healthy cows before going out\Nov 28\352.mov,10.0,24.0,240,224,21.185833333333335,31.185833333333335,29.99713585590173,1571,52.37166666666667,240,0,0.6,0.923103096584479,0.8410137891769409,0.9452999830245972,2026-05-01T06:38:26Z
32,408,Healthy,Healthy,healthy folder,Truro Cow Video Data,healthy cows before going out/Sep 4/408.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\healthy cows before going out\Sep 4\408.mov,10.0,24.0,240,224,24.403333333333332,34.403333333333336,29.99659902505385,1764,58.806666666666665,240,0,0.6,0.9120800830423832,0.8179224729537964,0.9483082890510559,2026-05-01T06:39:27Z
33,394,Unhealthy,Unhealthy,lameness,Truro Cow Video Data,unhealthy cows before going out/Sep 26/394-lameness.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\unhealthy cows before going out\Sep 26\394-lameness.mov,10.0,24.0,240,224,25.453333333333337,35.45333333333333,29.99671628721541,1827,60.90666666666667,240,0,0.6,0.9465217828750611,0.9350812435150146,0.951887309551239,2026-05-01T06:40:27Z
34,323,Unhealthy,Unhealthy,lameness,Truro Cow Video Data,unhealthy cows after exercise/Nov 7/323-lameness.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\unhealthy cows after exercise\Nov 7\323-lameness.mov,10.0,24.0,240,224,25.43166666666667,35.43166666666667,30.001643025357357,1826,60.86333333333334,240,0,0.6,0.9206166617572308,0.8431218266487122,0.9416401386260986,2026-05-01T06:40:42Z
35,310,Unhealthy,Unhealthy,possible mastitis,Yashan Dhaliwal RAC Data 2025,"24 Feb 2025/Before Exercise/310/Video 2025-02-24, 8 58 07 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\24 Feb 2025\Before Exercise\310\Video 2025-02-24, 8 58 07 AM.mov",10.0,24.0,240,224,58.0125,68.0125,30.001983733386233,3781,126.025,240,0,0.6,0.9358627900481225,0.9095495343208313,0.9497255086898804,2026-05-01T06:41:44Z
36,406,Healthy,Healthy,healthy folder,Truro Cow Video Data,healthy cows after exercise/Sep 5/406.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\healthy cows after exercise\Sep 5\406.mov,10.0,24.0,240,224,25.353333333333335,35.35333333333334,29.99670546892159,1821,60.70666666666667,109,131,0.6,0.9147433665914273,0.7012225985527039,0.9463016390800476,2026-05-01T06:42:46Z
37,387,Healthy,Healthy,healthy folder,Truro Cow Video Data,healthy cows before going out/Sep 26/387.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\healthy cows before going out\Sep 26\387.mov,10.0,24.0,240,224,26.075,36.075,29.99195494770716,1864,62.15,240,0,0.6,0.9284285965065161,0.8567653894424438,0.953023374080658,2026-05-01T06:43:47Z
38,402,Healthy,Healthy,healthy folder,Truro Cow Video Data,healthy cows before going out/Oct 29/402.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\healthy cows before going out\Oct 29\402.mov,10.0,24.0,240,224,28.936666666666667,38.93666666666667,29.997053334642963,2036,67.87333333333333,220,20,0.6,0.8583921828053215,0.6030580401420593,0.9368725419044495,2026-05-01T06:44:50Z
39,446,Unhealthy,Unhealthy,fresh cows,Truro Cow Video Data,unhealthy cows before going out/Sep 4/446- fresh cows.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\unhealthy cows before going out\Sep 4\446- fresh cows.mov,10.0,24.0,240,224,25.80333333333333,35.80333333333333,29.996753598095445,1848,61.60666666666666,223,17,0.6,0.8755478757379301,0.6194872260093689,0.94376140832901,2026-05-01T06:45:50Z
40,403,Unhealthy,Unhealthy,lameness,Truro Cow Video Data,unhealthy cows before going out/Sep 8/403- lameness.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\unhealthy cows before going out\Sep 8\403- lameness.mov,10.0,24.0,240,224,21.969166666666666,31.969166666666666,29.997219046441923,1618,53.93833333333333,240,0,0.6,0.9137769490480423,0.8712759017944336,0.9401008486747742,2026-05-01T06:46:53Z
41,374,Healthy,Healthy,healthy folder,Truro Cow Video Data,healthy cows before going out/Nov 7/374.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\healthy cows before going out\Nov 7\374.mov,10.0,24.0,240,224,27.38666666666667,37.38666666666667,29.996912309592425,1943,64.77333333333334,240,0,0.6,0.9324015706777573,0.9135754704475403,0.9453834891319275,2026-05-01T06:47:52Z
42,421,Unhealthy,Unhealthy,lameness/stiffness,Yashan Dhaliwal RAC Data 2025,"March 24 2025/After exercise/421/Video 2025-03-24, 7 53 24 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\March 24 2025\After exercise\421\Video 2025-03-24, 7 53 24 AM.mov",10.0,24.0,240,224,56.480000000000004,66.48,30.001626545217956,3689,122.96000000000001,240,0,0.6,0.9310943168898423,0.9146788716316223,0.9448236227035522,2026-05-01T06:48:53Z
43,433,Unhealthy,Unhealthy,possible mastitis,Yashan Dhaliwal RAC Data 2025,"17 March 2025/After exercise/433/Video 2025-03-17, 8 47 40 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\17 March 2025\After exercise\433\Video 2025-03-17, 8 47 40 AM.mov",10.0,24.0,240,224,40.43083333333333,50.43083333333333,30.00165086119926,2726,90.86166666666666,240,0,0.6,0.9380414597690105,0.9296223521232605,0.9465268850326538,2026-05-01T06:49:55Z
44,438,Unhealthy,Unhealthy,possible metritis,Yashan Dhaliwal RAC Data 2025,"20 Feb 2025/During Exercise/438/Video 2025-02-20, 9 16 25 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\20 Feb 2025\During Exercise\438\Video 2025-02-20, 9 16 25 AM.mov",10.0,24.0,240,224,60.295833333333334,70.29583333333333,30.001914364112054,3918,130.59166666666667,142,98,0.6,0.7666452296183143,0.6030953526496887,0.9016582369804382,2026-05-01T06:50:56Z
45,428,Healthy,Healthy,healthy folder,Truro Cow Video Data,healthy cows after exercise/Nov 5/428.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\healthy cows after exercise\Nov 5\428.mov,10.0,24.0,240,224,26.203333333333333,36.20333333333333,29.99679521418652,1872,62.406666666666666,240,0,0.6,0.9216979759434859,0.8481118083000183,0.9424580335617065,2026-05-01T06:51:58Z
46,426,Healthy,Healthy,healthy folder,Truro Cow Video Data,healthy cows before going out/Nov 7/426.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\healthy cows before going out\Nov 7\426.mov,10.0,24.0,240,224,26.85333333333333,36.85333333333333,29.996860611134366,1911,63.70666666666666,240,0,0.6,0.9348373867571353,0.8981527090072632,0.9493693113327026,2026-05-01T06:52:59Z
47,417,Unhealthy,Healthy,healthy,Yashan Dhaliwal RAC Data 2025,"March 24 2025/After exercise/417/Video 2025-03-24, 7 58 46 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\March 24 2025\After exercise\417\Video 2025-03-24, 7 58 46 AM.mov",10.0,24.0,240,224,55.71333333333333,65.71333333333334,30.001647084660153,3643,121.42666666666666,240,0,0.6,0.921450388431549,0.8032757639884949,0.9428992867469788,2026-05-01T06:54:00Z
48,427,Unhealthy,Unhealthy,lameness,Truro Cow Video Data,unhealthy cows after exercise/Sep 4/427- lameness.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\unhealthy cows after exercise\Sep 4\427- lameness.mov,10.0,24.0,240,224,26.236666666666665,36.236666666666665,29.996798634083877,1874,62.47333333333333,240,0,0.6,0.9348571506639322,0.8661392331123352,0.9479870200157166,2026-05-01T06:55:01Z
49,378,Unhealthy,Healthy,healthy,Yashan Dhaliwal RAC Data 2025,"7 March 2025/Before Exercise/378/Video 2025-03-07, 6 21 02 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\7 March 2025\Before Exercise\378\Video 2025-03-07, 6 21 02 AM.mov",10.0,24.0,240,224,55.980000000000004,65.98,30.0016398819285,3659,121.96000000000001,240,0,0.6,0.9378780769805114,0.8923122882843018,0.949239194393158,2026-05-01T06:56:02Z
50,425,Unhealthy,Unhealthy,lameness,Truro Cow Video Data,unhealthy cows after exercise/Oct 29/425-lameness.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\unhealthy cows after exercise\Oct 29\425-lameness.mov,10.0,24.0,240,224,25.414166666666667,35.41416666666667,30.002465956105983,1825,60.82833333333333,240,0,0.6,0.9115876237551371,0.8362246155738831,0.9331222176551819,2026-05-01T06:56:17Z
51,432,Healthy,Healthy,healthy folder,Truro Cow Video Data,healthy cows after exercise/Sep 8/432.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\healthy cows after exercise\Sep 8\432.mov,10.0,24.0,240,224,23.135833333333334,33.13583333333334,29.997334360098332,1688,56.27166666666667,240,0,0.6,0.9269799560308456,0.8640867471694946,0.9471740126609802,2026-05-01T06:57:18Z
52,404,Healthy,Healthy,healthy folder,Truro Cow Video Data,healthy cows after exercise/Oct 1/404.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\healthy cows after exercise\Oct 1\404.mov,10.0,24.0,240,224,24.203333333333333,34.20333333333333,29.99657573336377,1752,58.406666666666666,240,0,0.6,0.8944588594138623,0.7810806035995483,0.9298759698867798,2026-05-01T06:58:20Z
53,349,Unhealthy,Unhealthy,sudden fall,Cow 349 - Unhealthy (sudden fall),"Video 2025-03-28, 2 47 34 PM.mov","C:\Users\shivp\Downloads\Research\DATASET\Cow 349 - Unhealthy (sudden fall)\Video 2025-03-28, 2 47 34 PM.mov",10.0,24.0,240,224,109.11166666666666,119.11166666666666,30.001314501876816,6847,228.22333333333333,235,5,0.6,0.8500771225766933,0.6006641983985901,0.92438143491745,2026-05-01T06:59:21Z
54,363,Unhealthy,Unhealthy,lameness,Truro Cow Video Data,unhealthy cows before going out/Nov 28/363-lameness.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\unhealthy cows before going out\Nov 28\363-lameness.mov,10.0,24.0,240,224,25.265,35.265,30.001652073352055,1816,60.53,240,0,0.6,0.9282889425754547,0.897887110710144,0.9544234275817871,2026-05-01T06:59:37Z
55,436,Healthy,Healthy,healthy,Yashan Dhaliwal RAC Data 2025,20 Feb 2025/After Exercise/436 (1)/IMG_0548.MOV,C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\20 Feb 2025\After Exercise\436 (1)\IMG_0548.MOV,10.0,24.0,240,224,85.9275,95.9275,30.00192461026642,5456,181.855,240,0,0.6,0.9135668471455574,0.840124785900116,0.9386037588119507,2026-05-01T07:00:38Z
56,439,Healthy,Healthy,healthy folder,Truro Cow Video Data,healthy cows after exercise/Sep 5/439.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\healthy cows after exercise\Sep 5\439.mov,10.0,24.0,240,224,20.61916666666667,30.61916666666667,29.997072504309923,1537,51.23833333333334,240,0,0.6,0.9179200741151968,0.799928605556488,0.9491845965385437,2026-05-01T07:01:40Z
57,370,Healthy,Healthy,healthy,Yashan Dhaliwal RAC Data 2025,"27 Feb 2025/During Exercise/370/Video 2025-02-27, 3 22 44 PM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\27 Feb 2025\During Exercise\370\Video 2025-02-27, 3 22 44 PM.mov",10.0,24.0,240,224,41.08083333333333,51.08083333333333,30.001627574732808,2765,92.16166666666666,199,41,0.6,0.8366024155712607,0.611212968826294,0.9467723965644836,2026-05-01T07:02:42Z
58,415,Unhealthy,Unhealthy,lameness,Truro Cow Video Data,unhealthy cows after exercise/Sep 4/415 - lameness.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\unhealthy cows after exercise\Sep 4\415 - lameness.mov,10.0,24.0,240,224,25.939166666666665,35.939166666666665,29.99434373905783,1856,61.87833333333333,240,0,0.6,0.9029717360933621,0.790623128414154,0.9444867968559265,2026-05-01T07:03:43Z
59,354,Unhealthy,Unhealthy,lame,Yashan Dhaliwal RAC Data 2025,"March 19 2025/After exercise/354/Video 2025-03-19, 8 04 47 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\March 19 2025\After exercise\354\Video 2025-03-19, 8 04 47 AM.mov",10.0,24.0,240,224,56.279999999999994,66.28,30.001631853785902,3677,122.55999999999999,240,0,0.6,0.8884655413528283,0.6538673043251038,0.9423052668571472,2026-05-01T07:04:45Z
60,255,Unhealthy,Unhealthy,lame,Yashan Dhaliwal RAC Data 2025,"10 March 2025/During exercise/255/Video 2025-03-10, 6 58 02 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\10 March 2025\During exercise\255\Video 2025-03-10, 6 58 02 AM.mov",10.0,24.0,240,224,41.564166666666665,51.564166666666665,30.001610680602038,2794,93.12833333333333,240,0,0.6,0.9107565005620321,0.828465461730957,0.9373049139976501,2026-05-01T07:05:49Z
61,405,Healthy,Healthy,healthy folder,Truro Cow Video Data,healthy cows before going out/Sep 8/405.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\healthy cows before going out\Sep 8\405.mov,10.0,24.0,240,224,20.9525,30.9525,29.997110104999518,1557,51.905,240,0,0.6,0.9171775318682194,0.7819358706474304,0.9463116526603699,2026-05-01T07:06:51Z
