candidate_rank,cow_id,cow_health_status,video_health_status,health_condition,dataset_root,relative_path,video_path,duration_sec,fps,frame_count
32,255,Unhealthy,Unhealthy,lame,Yashan Dhaliwal RAC Data 2025,"12 March 2025/255/Video 2025-03-12, 8 22 27 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\12 March 2025\255\Video 2025-03-12, 8 22 27 AM.mov",91.195000,30.001645,2736
33,310,Unhealthy,Unhealthy,possible mastitis,Yashan Dhaliwal RAC Data 2025,"12 March 2025/After exercise/310/Video 2025-03-12, 8 13 38 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\12 March 2025\After exercise\310\Video 2025-03-12, 8 13 38 AM.mov",90.861667,30.001651,2726
34,354,Unhealthy,Unhealthy,lame,Yashan Dhaliwal RAC Data 2025,"12 March 2025/After exercise/354/Video 2025-03-12, 8 17 08 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\12 March 2025\After exercise\354\Video 2025-03-12, 8 17 08 AM.mov",92.695000,30.001618,2781
35,370,Healthy,Healthy,healthy,Yashan Dhaliwal RAC Data 2025,"12 March 2025/After exercise/370/Video 2025-03-12, 8 04 58 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\12 March 2025\After exercise\370\Video 2025-03-12, 8 04 58 AM.mov",90.928333,30.001650,2728
36,378,Unhealthy,Healthy,healthy,Yashan Dhaliwal RAC Data 2025,"12 March 2025/After exercise/378/Video 2025-03-12, 8 08 18 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\12 March 2025\After exercise\378\Video 2025-03-12, 8 08 18 AM.mov",96.761667,30.001550,2903
37,417,Unhealthy,Healthy,healthy,Yashan Dhaliwal RAC Data 2025,"12 March 2025/After exercise/417/Video 2025-03-12, 8 10 02 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\12 March 2025\After exercise\417\Video 2025-03-12, 8 10 02 AM.mov",91.028333,30.001648,2731
38,421,Unhealthy,Unhealthy,lameness/stiffness,Yashan Dhaliwal RAC Data 2025,"12 March 2025/After exercise/421/Video 2025-03-12, 8 06 34 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\12 March 2025\After exercise\421\Video 2025-03-12, 8 06 34 AM.mov",91.195000,30.001645,2736
39,433,Unhealthy,Unhealthy,possible mastitis,Yashan Dhaliwal RAC Data 2025,"12 March 2025/After exercise/433/Video 2025-03-12, 8 15 27 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\12 March 2025\After exercise\433\Video 2025-03-12, 8 15 27 AM.mov",91.061667,30.001647,2732
40,436,Healthy,Healthy,healthy,Yashan Dhaliwal RAC Data 2025,"12 March 2025/After exercise/436/Video 2025-03-12, 8 03 06 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\12 March 2025\After exercise\436\Video 2025-03-12, 8 03 06 AM.mov",92.563333,30.001080,2777
41,438,Unhealthy,Unhealthy,possible metritis,Yashan Dhaliwal RAC Data 2025,"12 March 2025/After exercise/438/Video 2025-03-12, 8 11 46 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\12 March 2025\After exercise\438\Video 2025-03-12, 8 11 46 AM.mov",91.428333,30.001641,2743
42,310,Unhealthy,Unhealthy,possible mastitis,Yashan Dhaliwal RAC Data 2025,"17 March 2025/After exercise/310/Video 2025-03-17, 8 49 13 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\17 March 2025\After exercise\310\Video 2025-03-17, 8 49 13 AM.mov",91.861667,30.001633,2756
43,354,Unhealthy,Unhealthy,lame,Yashan Dhaliwal RAC Data 2025,"17 March 2025/After exercise/354/Video 2025-03-17, 8 46 06 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\17 March 2025\After exercise\354\Video 2025-03-17, 8 46 06 AM.mov",91.761667,30.001635,2753
44,370,Healthy,Healthy,healthy,Yashan Dhaliwal RAC Data 2025,"17 March 2025/After exercise/370/Video 2025-03-17, 8 44 16 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\17 March 2025\After exercise\370\Video 2025-03-17, 8 44 16 AM.mov",74.461667,30.002014,2234
45,378,Unhealthy,Healthy,healthy,Yashan Dhaliwal RAC Data 2025,"17 March 2025/After exercise/378/Video 2025-03-17, 8 41 58 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\17 March 2025\After exercise\378\Video 2025-03-17, 8 41 58 AM.mov",91.195000,30.001645,2736
46,417,Unhealthy,Healthy,healthy,Yashan Dhaliwal RAC Data 2025,"17 March 2025/After exercise/417/Video 2025-03-17, 8 39 49 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\17 March 2025\After exercise\417\Video 2025-03-17, 8 39 49 AM.mov",91.695000,30.001636,2751
47,421,Unhealthy,Unhealthy,lameness/stiffness,Yashan Dhaliwal RAC Data 2025,"17 March 2025/After exercise/421/Video 2025-03-17, 8 37 55 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\17 March 2025\After exercise\421\Video 2025-03-17, 8 37 55 AM.mov",90.961667,30.001649,2729
48,433,Unhealthy,Unhealthy,possible mastitis,Yashan Dhaliwal RAC Data 2025,"17 March 2025/After exercise/433/Video 2025-03-17, 8 47 40 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\17 March 2025\After exercise\433\Video 2025-03-17, 8 47 40 AM.mov",90.861667,30.001651,2726
49,436,Healthy,Healthy,healthy,Yashan Dhaliwal RAC Data 2025,"17 March 2025/After exercise/436/Video 2025-03-17, 8 53 16 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\17 March 2025\After exercise\436\Video 2025-03-17, 8 53 16 AM.mov",95.730000,30.001045,2872
50,438,Unhealthy,Unhealthy,possible metritis,Yashan Dhaliwal RAC Data 2025,"17 March 2025/After exercise/438/Video 2025-03-17, 8 51 01 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\17 March 2025\After exercise\438\Video 2025-03-17, 8 51 01 AM.mov",78.728333,30.001905,2362
51,310,Unhealthy,Unhealthy,possible mastitis,Yashan Dhaliwal RAC Data 2025,"17 March 2025/Before exercise/310/Video 2025-03-17, 7 06 35 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\17 March 2025\Before exercise\310\Video 2025-03-17, 7 06 35 AM.mov",122.560000,30.001632,3677
52,354,Unhealthy,Unhealthy,lame,Yashan Dhaliwal RAC Data 2025,"17 March 2025/Before exercise/354/Video 2025-03-17, 7 11 56 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\17 March 2025\Before exercise\354\Video 2025-03-17, 7 11 56 AM.mov",120.960000,30.001653,3629
53,370,Healthy,Healthy,healthy,Yashan Dhaliwal RAC Data 2025,"17 March 2025/Before exercise/370/Video 2025-03-17, 6 53 55 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\17 March 2025\Before exercise\370\Video 2025-03-17, 6 53 55 AM.mov",121.868333,29.991384,3655
54,378,Unhealthy,Healthy,healthy,Yashan Dhaliwal RAC Data 2025,"17 March 2025/Before exercise/378/Video 2025-03-17, 6 58 36 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\17 March 2025\Before exercise\378\Video 2025-03-17, 6 58 36 AM.mov",125.458333,30.001993,3764
55,417,Unhealthy,Healthy,healthy,Yashan Dhaliwal RAC Data 2025,"17 March 2025/Before exercise/417/Video 2025-03-17, 7 01 05 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\17 March 2025\Before exercise\417\Video 2025-03-17, 7 01 05 AM.mov",121.893333,30.001641,3657
56,421,Unhealthy,Unhealthy,lameness/stiffness,Yashan Dhaliwal RAC Data 2025,"17 March 2025/Before exercise/421/Video 2025-03-17, 6 56 15 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\17 March 2025\Before exercise\421\Video 2025-03-17, 6 56 15 AM.mov",122.360000,30.001635,3671
57,433,Unhealthy,Unhealthy,possible mastitis,Yashan Dhaliwal RAC Data 2025,"17 March 2025/Before exercise/433/Video 2025-03-17, 7 08 46 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\17 March 2025\Before exercise\433\Video 2025-03-17, 7 08 46 AM.mov",120.560000,30.001659,3617
58,436,Healthy,Healthy,healthy,Yashan Dhaliwal RAC Data 2025,"17 March 2025/Before exercise/436/Video 2025-03-17, 7 14 05 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\17 March 2025\Before exercise\436\Video 2025-03-17, 7 14 05 AM.mov",123.960000,30.001613,3719
59,438,Unhealthy,Unhealthy,possible metritis,Yashan Dhaliwal RAC Data 2025,"17 March 2025/Before exercise/438/Video 2025-03-17, 7 03 20 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\17 March 2025\Before exercise\438\Video 2025-03-17, 7 03 20 AM.mov",132.658333,30.001885,3980
60,255,Unhealthy,Unhealthy,lame,Yashan Dhaliwal RAC Data 2025,"17 March 2025/Cow 255/Video 2025-03-17, 7 28 46 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\17 March 2025\Cow 255\Video 2025-03-17, 7 28 46 AM.mov",125.425000,30.001993,3763
61,310,Unhealthy,Unhealthy,possible mastitis,Yashan Dhaliwal RAC Data 2025,"17 March 2025/During Exercise/310/Video 2025-03-17, 8 17 54 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\17 March 2025\During Exercise\310\Video 2025-03-17, 8 17 54 AM.mov",90.728333,30.001653,2722
62,354,Unhealthy,Unhealthy,lame,Yashan Dhaliwal RAC Data 2025,"17 March 2025/During Exercise/354/Video 2025-03-17, 8 13 43 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\17 March 2025\During Exercise\354\Video 2025-03-17, 8 13 43 AM.mov",91.828333,30.001633,2755
63,370,Healthy,Healthy,healthy,Yashan Dhaliwal RAC Data 2025,"17 March 2025/During Exercise/370/Video 2025-03-17, 8 15 37 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\17 March 2025\During Exercise\370\Video 2025-03-17, 8 15 37 AM.mov",93.928333,30.001597,2818
64,378,Unhealthy,Healthy,healthy,Yashan Dhaliwal RAC Data 2025,"17 March 2025/During Exercise/378/Video 2025-03-17, 8 19 36 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\17 March 2025\During Exercise\378\Video 2025-03-17, 8 19 36 AM.mov",91.995000,30.001631,2760
65,417,Unhealthy,Healthy,healthy,Yashan Dhaliwal RAC Data 2025,"17 March 2025/During Exercise/417/Video 2025-03-17, 8 29 07 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\17 March 2025\During Exercise\417\Video 2025-03-17, 8 29 07 AM.mov",91.628333,30.001637,2749
66,421,Unhealthy,Unhealthy,lameness/stiffness,Yashan Dhaliwal RAC Data 2025,"17 March 2025/During Exercise/421/Video 2025-03-17, 8 26 27 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\17 March 2025\During Exercise\421\Video 2025-03-17, 8 26 27 AM.mov",91.128333,30.001646,2734
67,433,Unhealthy,Unhealthy,possible mastitis,Yashan Dhaliwal RAC Data 2025,"17 March 2025/During Exercise/433/Video 2025-03-17, 8 23 01 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\17 March 2025\During Exercise\433\Video 2025-03-17, 8 23 01 AM.mov",90.828333,30.001651,2725
68,436,Healthy,Healthy,healthy,Yashan Dhaliwal RAC Data 2025,"17 March 2025/During Exercise/436/Video 2025-03-17, 8 24 39 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\17 March 2025\During Exercise\436\Video 2025-03-17, 8 24 39 AM.mov",93.995000,30.001596,2820
69,438,Unhealthy,Unhealthy,possible metritis,Yashan Dhaliwal RAC Data 2025,"17 March 2025/During Exercise/438/Video 2025-03-17, 8 21 20 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\17 March 2025\During Exercise\438\Video 2025-03-17, 8 21 20 AM.mov",82.561667,30.001817,2477
70,310,Unhealthy,Unhealthy,possible mastitis,Yashan Dhaliwal RAC Data 2025,"19 Feb 2025/After Exercise/310/Video 2025-02-19, 10 04 02 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\19 Feb 2025\After Exercise\310\Video 2025-02-19, 10 04 02 AM.mov",177.823333,30.001687,5335
71,378,Unhealthy,Healthy,healthy,Yashan Dhaliwal RAC Data 2025,"19 Feb 2025/After Exercise/378/Video 2025-02-19, 9 46 39 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\19 Feb 2025\After Exercise\378\Video 2025-02-19, 9 46 39 AM.mov",182.921667,30.001913,5488
72,417,Unhealthy,Healthy,healthy,Yashan Dhaliwal RAC Data 2025,"19 Feb 2025/After Exercise/417/Video 2025-02-19, 9 49 53 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\19 Feb 2025\After Exercise\417\Video 2025-02-19, 9 49 53 AM.mov",181.123333,30.001656,5434
73,421,Unhealthy,Unhealthy,lameness/stiffness,Yashan Dhaliwal RAC Data 2025,"19 Feb 2025/After Exercise/421/Video 2025-02-19, 9 57 06 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\19 Feb 2025\After Exercise\421\Video 2025-02-19, 9 57 06 AM.mov",181.521667,30.001928,5446
74,433,Unhealthy,Unhealthy,possible mastitis,Yashan Dhaliwal RAC Data 2025,"19 Feb 2025/After Exercise/433/Video 2025-02-19, 10 07 35 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\19 Feb 2025\After Exercise\433\Video 2025-02-19, 10 07 35 AM.mov",181.693333,29.995597,5450
75,436,Healthy,Healthy,healthy,Yashan Dhaliwal RAC Data 2025,"19 Feb 2025/After Exercise/436/Video 2025-02-19, 9 53 58 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\19 Feb 2025\After Exercise\436\Video 2025-02-19, 9 53 58 AM.mov",181.521667,30.001928,5446
76,438,Unhealthy,Unhealthy,possible metritis,Yashan Dhaliwal RAC Data 2025,"19 Feb 2025/After Exercise/438/Video 2025-02-19, 10 00 34 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\19 Feb 2025\After Exercise\438\Video 2025-02-19, 10 00 34 AM.mov",165.690000,30.001811,4971
77,310,Unhealthy,Unhealthy,possible mastitis,Yashan Dhaliwal RAC Data 2025,"19 Feb 2025/Before Exercise/310/Video 2025-02-19, 8 56 07 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\19 Feb 2025\Before Exercise\310\Video 2025-02-19, 8 56 07 AM.mov",182.788333,30.001915,5484
78,378,Unhealthy,Healthy,healthy,Yashan Dhaliwal RAC Data 2025,"19 Feb 2025/Before Exercise/378/Video 2025-02-19, 8 47 13 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\19 Feb 2025\Before Exercise\378\Video 2025-02-19, 8 47 13 AM.mov",17.465000,30.002863,524
79,378,Unhealthy,Healthy,healthy,Yashan Dhaliwal RAC Data 2025,"19 Feb 2025/Before Exercise/378/Video 2025-02-19, 9 01 30 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\19 Feb 2025\Before Exercise\378\Video 2025-02-19, 9 01 30 AM.mov",167.990000,30.001786,5040
